EDAD,ANT_DIAS,IMP_010,IMP_024,IMP_035,IMP_037,IMP_SDO,FALTASACUMULADAS,FECHAING,FECHAMOV,FECHAOCUP,FECHALIMOCU,FECHAINI,FECHAFIN,FECHAPROBJUB,FECHANOMINACION,FECHAPRIMERCONFZA,ADSCRIPCION,CATEGORIA,CLASIF_UNIDAD,COMSIN,CPTO180,DATOADIC_CATBASE,DELEGACION,DEPENDENCIA,DESCRIPCION_SERVICIO,DESCRIP_CLASCATEG,DESCRIP_HORARIO,DESCRIP_LOCALIDAD,DESCRIP_TIPO_DE_PLAZA,DESCRIP_TURNO,DescripcionTC,ESCOLARIDAD,GrupoTipoPlaza,JUBILA,MCABAJA,MCP,MY,NOMBREAR,PLZAUT,PLZOCU,PLZSOB,PTO,RJP,SEXO,TipoConfianza,TipoMcaOcup,ULTIMACATEGBASE,VIGENCIAPTO,CURP,RFC,NSS,MATRICULA
37.01419893207244,7505.962710304255,0,0,0,0,5309.276838350315,43.91816811338471,2013-04-17,2009-01-02,2020-02-07,2050-04-11,1987-09-25,2029-05-23,NA,2017-08-18,2016-04-28,JEFATURA DE MEDICINA FAMILIAR,MEDICO NO FAMILIAR     80,02 Segundo Nivel,NA,0,NA,Jalisco,HOSPITAL GENERAL REGIONAL 01,A4-QUIRÓFANOS,1.MÉDICOS,Otro_41,GUADALAJARA,OPERATIVA BASE,VESPERTINO,Base,11-LICENCIATURA COMPLETA,Operativa,NA,Otro_12,MI,4,MEDICINA DE URGENCIAS,1,0,0,ConP,C152 Y C107,H,Confianza B,Definitiva,NA,VIGENTE,UFMD972044ADOYHX99,5FSYEXZSTBW6Z,77413892374,1730762
30.61110494601457,8,0,0,0,0,6944.139792180673,55.642976996958915,2016-11-12,2015-09-29,1973-04-02,1991-03-05,1992-09-13,2053-01-28,NA,NA,NA,COORDINACION CLINICA DE MEDICINA,MEDICO NO FAMILIAR     80,01 Primer Nivel,NA,1,20360180,Nuevo León,HOSPITAL GENERAL DE ZONA 01,A4-QUIRÓFANOS,1.MÉDICOS,14.00 A 20.30 Y 1.0 HRS. PREP. ACT. DOC. INVEST.,GUADALAJARA,OPERATIVA BASE,MATUTINO,Base,Otro_7,Operativa,NA,00,MI,4,Otro_93,1,1,0,ConP,C111,M,Base,Definitiva,20360280,VIGENTE,XOIP114514DELNTB70,KSAE6AWDYSTN4,46930293644,910764864
35.51525608446004,8223.78353306187,0,0.5992554748680535,0,9330.177526601394,5840.858833219467,0,1971-07-28,2018-04-14,1980-02-03,2050-06-03,1997-11-19,2050-01-01,NA,NA,NA,JEFATURA DE MEDICINA FAMILIAR,MEDICO FAMILIAR        80,02 Segundo Nivel,NA,1,NA,Nuevo León,HOSPITAL GENERAL REGIONAL 01,Otro_79,1.MÉDICOS,7.30  A 14.00 Y 1.5 HRS. PREP. ACT. DOC. E INVES.,MONTERREY,OPERATIVA BASE,VESPERTINO,Otro_1,15-ESPECIALIDAD COMPLETA,Operativa,PROYECCION,Otro_40,MI,4,MEDICINA FAMILIAR,1,0,0,ConP,C111,M,Otro_1,Definitiva,20360180,VIGENTE,ZNAK639940HNGXJR27,8FGKWNGBOGU8F,25597207626,9233586
36.184690174496275,6049.625703247731,NA,1700.000864019201,32069.71,0,5333.781142166303,NA,2061-07-03,2018-07-06,2022-08-15,2050-05-27,2041-09-26,2053-12-01,2039-12-21,2024-06-01,NA,JEFATURA DE MEDICINA FAMILIAR,MEDICO FAMILIAR        80,02 Segundo Nivel,NA,1,20360180,Nuevo León,HOSPITAL GENERAL REGIONAL 01,A4-QUIRÓFANOS,1.MÉDICOS,7.30  A 14.00 Y 1.5 HRS. PREP. ACT. DOC. E INVES.,Otro_974,OPERATIVA BASE,MATUTINO,Base,15-ESPECIALIDAD COMPLETA,Otras,NA,00,MI,Otro_1,MEDICINA FAMILIAR,1,1,0,ConP,C152 Y C107,M,Base,No Definitiva,20360180,VIGENTE,ULLD829423HCAOLN16,X1QFWA3V7K4XA,63840866988,765477
37.18516117778197,5679.937541964826,-0.09498028076721765,1591.4631726151506,0.07627514889425016,0,5976.965026023245,30.69634896182972,2016-12-10,2022-01-19,2022-01-01,2050-01-01,2009-11-02,2025-02-25,2052-06-01,NA,2016-07-17,JEFATURA DE MEDICINA FAMILIAR,MEDICO NO FAMILIAR     80,02 Segundo Nivel,NA,1,NA,Jalisco,HOSPITAL GENERAL DE ZONA 01,A7-CONSULTA DE MEDICINA FAMILIAR,1.MÉDICOS,14.00 A 20.30 Y 1.0 HRS. PREP. ACT. DOC. INVEST.,MONTERREY,OPERATIVA BASE,VESPERTINO,Base,11-LICENCIATURA COMPLETA,Operativa,JUB. INMEDIATA,62,21,4,MEDICINA FAMILIAR,1,1,0,ConP,C111,H,Base,Definitiva,20360180,VIGENTE,NA,AWKKGFNST5PDU,09704786894,60994874
43.33878025117237,6582.039358567694,0,-728.5759863715077,0,0,8370.48744509627,0,2010-11-29,2020-08-07,1971-12-12,2043-09-19,1986-09-06,2034-08-02,NA,2025-03-02,NA,COORDINACION CLINICA DE MEDICINA,MEDICO FAMILIAR        80,02 Segundo Nivel,NA,0,20360180,Nuevo León,HOSPITAL GENERAL REGIONAL 01,A7-CONSULTA DE MEDICINA FAMILIAR,1.MÉDICOS,7.30  A 14.00 Y 1.5 HRS. PREP. ACT. DOC. E INVES.,MONTERREY,CUBRE DESCANSOS BASE,MATUTINO,Base,15-ESPECIALIDAD COMPLETA,Operativa,NA,00,21,2,MEDICINA DE URGENCIAS,1,1,0,ConP,C111,NA,Base,Definitiva,20360280,VIGENTE,EZFP727849OFTFQX32,2I8CR2SF3RNI8,77831636461,NA
29.746167187674835,181.85010028260876,0,0,32069.71,0,7773.234589050666,4.814024834087888,2010-12-20,2023-09-19,1997-04-15,2050-01-01,1974-09-27,2050-01-01,NA,2022-10-09,NA,JEFATURA DE MEDICINA FAMILIAR,MEDICO NO FAMILIAR     80,02 Segundo Nivel,NA,1,NA,Jalisco,Otro_325,A7-CONSULTA DE MEDICINA FAMILIAR,1.MÉDICOS,7.30  A 14.00 Y 1.5 HRS. PREP. ACT. DOC. E INVES.,MONTERREY,Otro_15,MATUTINO,Otro_3,15-ESPECIALIDAD COMPLETA,Operativa,PROYECCION,00,Otro_29,4,MEDICINA FAMILIAR,1,1,0,ConP,C111,NA,Base,Definitiva,20360180,VIGENTE,NA,NA,NA,497876189
35.33194588342674,4083.145585935229,0,8.060358903927934e-4,0,11100.949482163003,6301.564196000924,NA,2016-03-15,2018-10-01,2017-12-19,2050-01-01,1979-02-24,1996-12-24,NA,2018-12-05,NA,COORDINACION CLINICA DE MEDICINA,MEDICO NO FAMILIAR     80,02 Segundo Nivel,NA,1,NA,Jalisco,HOSPITAL GENERAL REGIONAL 01,A4-QUIRÓFANOS,1.MÉDICOS,7.30  A 14.00 Y 1.5 HRS. PREP. ACT. DOC. E INVES.,GUADALAJARA,OPERATIVA BASE,MATUTINO,Base,11-LICENCIATURA COMPLETA,Operativa,NA,00,21,Otro_3,MEDICINA FAMILIAR,1,1,0,ConP,Otro_2,M,Base,No Definitiva,20360180,VIGENTE,PMOI794947GLUCPO88,J7S14LA8CZA7J,17166098992,NA
29.577190800254936,7411.675086615831,0,0.8263188655320546,10.532218666034392,0,6276.875651304656,43.313239448884815,2038-08-08,2020-08-09,2015-05-20,2050-03-27,2050-01-01,2064-04-25,2031-02-06,NA,NA,Otro_293,MEDICO FAMILIAR        80,02 Segundo Nivel,NA,1,NA,Nuevo León,Otro_340,A4-QUIRÓFANOS,1.MÉDICOS,7.30  A 14.00 Y 1.5 HRS. PREP. ACT. DOC. E INVES.,MONTERREY,OPERATIVA BASE,Otro_3,Base,15-ESPECIALIDAD COMPLETA,Operativa,PROYECCION,Otro_2,21,4,MEDICINA DE URGENCIAS,1,1,0,ConP,C111,H,Base,No Definitiva,20360280,VIGENTE,PJNP953224HWMKKR04,WO0LAXDD6KNM6,16217571668,635012
45.245373702007974,3004.5220595711635,NA,0,979.3940764493769,18238.24070854718,5452.4905828624205,NA,2012-08-22,2021-01-10,2024-05-09,2050-01-01,1991-10-05,2052-02-03,2036-07-01,2025-02-18,NA,COORDINACION CLINICA DE MEDICINA,MEDICO NO FAMILIAR     80,01 Primer Nivel,NA,1,NA,Jalisco,HOSPITAL GENERAL REGIONAL 01,A7-CONSULTA DE MEDICINA FAMILIAR,1.MÉDICOS,Otro_22,GUADALAJARA,OPERATIVA BASE,MATUTINO,Base,15-ESPECIALIDAD COMPLETA,Otras,NA,00,MI,2,Otro_22,1,1,0,ConP,C111,H,Base,Definitiva,20360180,VIGENTE,ECYU717045KUUHYR15,ZC07B1EWABZ56,53839184097,0882245
